,Latitude,Longitude
410,40.764535539,-73.970728388
411,40.655572428,-73.879734225
412,40.67910409,-73.86312891899999
413,40.648886785,-73.88302924
414,40.853239381,-73.907875626
415,40.708012993000004,-73.954363513
416,40.862325555,-73.893347779
417,40.729804435,-74.00214103100001
418,40.703146266,-73.94163906899999
419,40.694793746,-73.931343547
420,40.861513269,-73.92923730300001
421,40.65402304,-73.92720850399999
422,40.609583959,-73.95843934199999
423,40.662611009,-73.92649626800001
424,40.745605687,-73.955629757
425,40.614608231,-74.080477347
426,40.735331747,-73.857247247
427,40.589373635,-73.787072546
428,40.903519069,-73.900853103
429,40.841011576,-73.889019731
430,40.800880893,-73.940953807
431,40.658378671,-73.886184297
432,40.862847154,-73.899583312
433,40.843101536,-73.893237645
434,40.756167883,-73.913012636
435,40.639730545999996,-73.95274193
436,40.800252085,-73.940437865
437,40.861418203,-73.907387089
438,40.743130175,-73.996356573
439,40.791151866999996,-73.884371919
440,40.841502303,-73.91046152199999
441,40.707447364000004,-73.79214176800001
442,40.849863253,-73.93607763600001
443,40.757861551,-73.86019492300001
444,40.844972739,-73.942335098
445,40.712362272,-73.89122506
446,40.704932258,-73.796246855
447,40.655257883000004,-73.952961589
448,40.681805511,-73.98308819
449,40.698894288000005,-73.91850056
450,40.587514489,-73.811705125
451,40.887462664,-73.845821147
452,40.724294576,-73.75830597699999
453,40.719563975,-73.843153984
454,40.57602572,-74.090027819
455,40.843702556,-73.924395089
456,40.823117640999996,-73.824114397
457,40.657293142,-73.737648205
458,40.668926921,-73.922578128
459,40.898414394,-73.908004727
460,40.579066706999996,-73.975575964
461,40.694402929,-73.94466146399999
462,40.663456562,-73.88348669199999
463,40.875281285999996,-73.867581341
464,40.708686124,-73.736284504
465,40.744919266,-73.988799472
466,40.860716972,-73.899246702
467,40.752050587,-73.928743611
468,40.83342652,-73.902648758
469,40.609817866,-73.922499012
470,40.762234770999996,-73.968188083
471,40.713313312,-73.766559358
472,40.713285085,-73.764828009
473,40.826906394,-73.935900956
474,40.614205514,-73.975073261
475,40.840781109,-73.936245382
476,40.569593176,-74.110564608
477,40.686606104,-73.823241312
478,40.657157463000004,-73.983440435
480,40.800252583,-73.941409462
481,40.691464909000004,-73.987348023
482,40.778194946999996,-73.966465382
483,40.875137941999995,-73.906145787
484,40.651631256,-73.95111898
485,40.814787465,-73.957501965
486,40.855864023,-73.884281109
487,40.813739704,-73.92208815
488,40.813384453000005,-73.956270966
489,40.668883767,-73.93250571899999
490,40.736833222,-73.988750312
491,40.615491223,-74.08165623
492,40.812118713000004,-73.95516997600001
493,40.622118165,-74.084063433
494,40.840335944,-73.921995564
495,40.612223695,-73.997174097
496,40.838074314,-73.914278841
497,40.68524167,-73.801203512
498,40.596800942,-74.079098353
499,40.844502991999995,-73.936350245
500,40.73441528,-73.990850761
501,40.681767906,-73.842734508
502,40.821627397,-73.917237434
503,40.760154201,-73.91804658699999
504,40.625327435,-73.92904461100001
505,40.826142445,-73.95079567399999
506,40.863773113,-73.922195841
508,40.863120505,-73.895237307
509,40.817432855999996,-73.89021154
510,40.788727788,-73.947804311
511,40.602620947,-73.914663965
512,40.606700863,-74.130815602
513,40.680536156,-73.957086365
514,40.621549026,-74.018639296
515,40.681894082,-73.91979406899999
516,40.885451065,-73.863463571
517,40.814846596,-73.82155318699999
518,40.7673241,-73.984297521
519,40.62467828,-74.03056766
520,40.694562189,-73.83551363800001
521,40.692529375999996,-73.941388727
522,40.66345806,-73.902831932
523,40.791151866999996,-73.884371919
524,40.760385368,-73.91509715800001
525,40.734668414,-73.864815344
526,40.745561049,-73.984569711
527,40.748116393000004,-73.947356124
528,40.850519914,-73.905150357
529,40.664011426,-73.883900242
530,40.700834315,-73.894237264
532,40.623841991,-73.91606336
533,40.725302645,-73.91236743600001
534,40.871211121,-73.85410634
535,40.680087926999995,-73.884229186
536,40.746055798,-73.899030338
537,40.746055798,-73.899030338
538,40.595365808000004,-74.086179432
539,40.860330983000004,-73.91046147899999
540,40.676051596,-73.934611088
541,40.752773634,-73.863186895
542,40.752773634,-73.863186895
543,40.752773634,-73.863186895
544,40.668646079,-73.815654014
545,40.860330983000004,-73.91046147899999
546,40.721760625,-73.845807642
547,40.819118929,-73.910177314
548,40.618037199,-73.99902889399999
549,40.596819564,-73.932913442
550,40.699304218,-73.832955805
551,40.747357003000005,-73.747225591
552,40.691293219,-73.91737757199999
553,40.595732614,-73.990693317
554,40.574870619,-74.169734432
